KODE,NAMA,KATEGORI,LEVEL,SKS,EST_JAM,SEMESTER
ET234101,Statistika dan Probabilitas,Matematika,Mudah,3,60,1
ET234102,Arsitektur dan Organisasi Komputer,Sistem,Sedang,3,80,1
ET234103,Algoritma dan Teknik Pemrograman,Programming,Sedang,3,80,1
EE234101,Pengantar Teknologi Elektro dan Informatika Cerdas,Pengantar,Mudah,2,40,1
SM234101,Kalkulus 1,Matematika,Sedang,3,80,1
SF234204,Fisika Dasar,Sains,Sedang,3,60,1
ET234104,Hukum dan Etika Teknologi Informasi,Etika,Mudah,2,40,1
ET234201,Sistem Operasi,Sistem,Sulit,3,80,2
SM234201,Kalkulus 2,Matematika,Sulit,3,80,2
ET234202,Arsitektur Enterprise,Manajemen,Sedang,3,60,2
ET234203,Struktur Data dan Pemrograman Berorientasi Objek,Programming,Sulit,4,100,2
ET234204,Sistem Basis Data,Data,Sedang,3,80,2
ET234301,Ethical Hacking dan Uji Keamanan Siber,Keamanan,Sulit,3,80,3
ET234302,Keamanan Jaringan Komputer,Keamanan,Sedang,3,80,3
ET234303,Internet of Things,Sistem,Sedang,3,80,3
ET234304,Komunikasi Profesional,Soft Skill,Mudah,2,40,3
ET234305,Pemrograman Web,Programming,Sedang,3,80,3
ET234306,Komunikasi Data dan Jaringan Komputer,Sistem,Sedang,3,80,3
ET234401,Manajemen Insiden Keamanan Siber,Keamanan,Sulit,3,80,4
ET234402,Security Operations Center,Keamanan,Sulit,3,80,4
ET234403,Teknologi Komputasi Awan,Sistem,Sedang,3,80,4
ET234404,Big Data dan Data Lakehouse,Data,Sulit,3,80,4
ET234405,Kecerdasan Artifisial dan Machine Learning,AI,Sulit,3,80,4
ET234406,Integrasi Sistem,Sistem,Sulit,3,80,4
ET234501,Kriptografi,Keamanan,Sangat Sulit,3,80,5
ET232507,Membasmi Judol,Keamanan,Sulit,3,80,4
ET232508,Prompting,AI,Sangat Sulit,4,120,5
